UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
290424,243.0,9.08366533864542,4.0,85.0,3.0,25.0,3.0,1.0,12.0,0.0,11.0,5.0,5.0,1.5527072185113362
290544,374.0,0.1593625498007968,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
290645,145.0,48.844621513944226,81.0,455.0,109.0,438.0,37.0,0.0,27.0,0.0,177.0,14.0,96.0,1.140761963959048
290748,157.0,61.91235059760957,321.0,623.0,95.0,227.0,51.0,0.0,93.0,0.0,277.0,31.0,80.0,1.1181701430907034
290982,731.0,64.06374501992032,28.0,29.0,403.0,1203.0,9.0,0.0,8.0,0.0,16.0,13.0,2.0,1.850368142769234
291742,274.0,84.06374501992032,13.0,150.0,247.0,1396.0,1.0,0.0,15.0,0.0,21.0,11.0,8.0,1.2695168101622434
291846,9.0,57.45019920318725,3.0,71.0,178.0,799.0,2.0,1.0,1.0,0.0,10.0,9.0,2.0,1.7429089986334578
292325,95.0,102.70916334661355,137.0,1415.0,10.0,143.0,124.0,0.0,187.0,0.0,375.0,32.0,61.0,1.2118046026783507
293618,647.0,6.53386454183267,0.0,26.0,4.0,51.0,3.0,0.0,2.0,0.0,7.0,5.0,3.0,1.5946697582283156
294184,53.0,19.60159362549801,6.0,187.0,3.0,29.0,19.0,0.0,21.0,1.0,57.0,22.0,9.0,1.333595646369007
295061,186.0,25.099601593625497,32.0,130.0,97.0,164.0,26.0,1.0,20.0,0.0,78.0,28.0,8.0,1.4165357605971125
295518,62.0,25.258964143426297,55.0,170.0,20.0,137.0,48.0,0.0,23.0,0.0,108.0,21.0,28.0,1.2016233922074937
295791,83.0,50.83665338645418,18.0,269.0,156.0,430.0,5.0,0.0,23.0,0.0,40.0,21.0,10.0,1.209825567923887
295893,907.0,95.0597609561753,12.0,117.0,278.0,1500.0,13.0,0.0,7.0,1.0,52.0,25.0,6.0,1.4143451983875017
296042,968.0,280.8764940239044,530.0,6969.0,50.0,107.0,258.0,2.0,522.0,1.0,1751.0,74.0,248.0,1.1001119465337252
297728,291.0,153.86454183266932,446.0,1103.0,541.0,1302.0,405.0,1.0,307.0,0.0,981.0,39.0,234.0,1.1134853701739746
298252,323.0,110.11952191235059,78.0,500.0,198.0,1261.0,51.0,0.0,58.0,0.0,157.0,39.0,31.0,1.1386682615591164
298683,276.0,267.56972111553785,1177.0,4400.0,171.0,575.0,959.0,17.0,757.0,2.0,2672.0,61.0,610.0,1.0744497322914814
299189,81.0,68.84462151394423,180.0,963.0,213.0,553.0,200.0,0.0,108.0,0.0,560.0,40.0,85.0,1.1790462893891702
299952,474.0,35.45816733067729,8.0,152.0,248.0,335.0,21.0,0.0,19.0,0.0,47.0,17.0,8.0,1.4128207463101663
300023,80.0,60.876494023904385,277.0,502.0,50.0,367.0,45.0,0.0,88.0,0.0,164.0,21.0,72.0,1.1145665762244537
300278,272.0,153.38645418326695,982.0,2282.0,26.0,147.0,379.0,1.0,489.0,3.0,1104.0,57.0,159.0,1.1295439519123092
300705,306.0,62.94820717131475,1.0,22.0,450.0,1253.0,3.0,0.0,1.0,0.0,9.0,5.0,5.0,1.4333294145603401
301062,555.0,19.12350597609562,14.0,46.0,92.0,217.0,9.0,0.0,10.0,0.0,20.0,11.0,4.0,1.5754571033903182
301370,354.0,28.44621513944223,13.0,269.0,3.0,72.0,29.0,1.0,34.0,0.0,113.0,24.0,28.0,1.1831196983380217
301682,266.0,167.33067729083666,61.0,248.0,794.0,3867.0,43.0,0.0,52.0,0.0,128.0,26.0,38.0,1.1383213257054854
301995,672.0,276.7330677290837,1017.0,1537.0,1181.0,5265.0,302.0,1.0,312.0,1.0,991.0,60.0,192.0,1.0898328169752958
302476,181.0,177.84860557768926,636.0,1824.0,120.0,939.0,364.0,18.0,506.0,1.0,1051.0,35.0,346.0,1.0906651927657078
